geoid,geoid20,year,denom_total_pop,toxic_releases,toxic_releases_pctile
1400000US06037463500,6037463500,2021,5982,1094.5,24
1400000US06037480703,6037480703,2021,3612,1315.3,30
1400000US06037108104,6037108104,2021,1836,92.93,1
1400000US06037106603,6037106603,2021,2126,159.33,2
1400000US06037462600,6037462600,2021,2152,993.95001,20
1400000US06037135201,6037135201,2021,2788,495.04001,6
1400000US06037460502,6037460502,2021,4277,1053.55,22
1400000US06037221900,6037221900,2021,4248,2391.4199,61
1400000US06037460002,6037460002,2021,1025,1153.99,26
1400000US06037460001,6037460001,2021,3396,1153.99,26
1400000US06037401001,6037401001,2021,3062,920.10999,19
1400000US06037501501,6037501501,2021,2272,2386.55,61
1400000US06037620904,6037620904,2021,2897,5004.6201,80
1400000US06037980019,6037980019,2021,209,1055.37,22
1400000US06037650501,6037650501,2021,3044,8849.0303,91
1400000US06037800335,6037800335,2021,5623,205.8,3
1400000US06037910815,6037910815,2021,5865,630.92999,12
1400000US06037670406,6037670406,2021,1759,3933.1299,74
1400000US06037194401,6037194401,2021,2391,1514.4399,37
1400000US06037910809,6037910809,2021,1661,260.04999,4
1400000US06037431002,6037431002,2021,3165,1369.67,32
1400000US06037620303,6037620303,2021,4502,5243.52,81
1400000US06037464200,6037464200,2021,5995,1234.13,28
1400000US06037139802,6037139802,2021,4126,777.20001,17
1400000US06037980015,6037980015,2021,707,11132.5,95
1400000US06037481713,6037481713,2021,2736,1796.51,46
1400000US06037301206,6037301206,2021,5281,1297.48,30
1400000US06037920049,6037920049,2021,4542,273.10999,4
1400000US06037191901,6037191901,2021,3060,1462.8101,35
1400000US06037297602,6037297602,2021,3687,3647.6499,72
1400000US06037208501,6037208501,2021,2267,1795.1899,46
1400000US06037571800,6037571800,2021,3373,15792.76,98
1400000US06037113301,6037113301,2021,3509,537.65997,8
1400000US06037401303,6037401303,2021,2033,1189.62,27
1400000US06037980022,6037980022,2021,416,545.96997,8
1400000US06037920016,6037920016,2021,3509,223.44,3
1400000US06037109200,6037109200,2021,2426,545.96997,8
1400000US06037189400,6037189400,2021,3164,1293.6899,29
1400000US06037300503,6037300503,2021,3843,1068.58,22
1400000US06037137301,6037137301,2021,2271,500.47,7
1400000US06037910216,6037910216,2021,4864,2737.25,65
1400000US06037120030,6037120030,2021,2800,714.78998,15
1400000US06037194102,6037194102,2021,3189,1294.14,29
1400000US06037261102,6037261102,2021,3520,1259.48,29
1400000US06037212410,6037212410,2021,4318,1807.48,47
1400000US06037195100,6037195100,2021,4978,1513.79,37
1400000US06037404501,6037404501,2021,2789,1415.58,33
1400000US06037272202,6037272202,2021,3359,1983.79,52
1400000US06037650702,6037650702,2021,4731,7008.6201,87
1400000US06037700801,6037700801,2021,4610,1552.51,39
1400000US06037432102,6037432102,2021,5951,1820.16,47
